MATERIA,CATEGORÍA,INSTANCIA DEL PROGRAMA,DESCRIPCIÓN,UNIVERSIDAD,UBICACIÓN
Skills for Learning,Herramientas,Early,,UFCB (University Campus of Football Business),Burnley
Research Project,Práctica,Early,,UFCB (University Campus of Football Business),Burnley
Contemporary Issues in Sports,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Foundation of Media Practice,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Media Law and Application,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Industry Competencies,Herramientas,Early,,UFCB (University Campus of Football Business),Burnley
Introduction to Sports Journalism,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Social and Digital Sports Journalism,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Sports Media and Society,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Principles of Sports Journalism,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Introduction to Broadcasting,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Industry Readiness,Herramientas,Mid,,UFCB (University Campus of Football Business),Burnley
Applied Digital Journalism,Práctica,Mid,,UFCB (University Campus of Football Business),Burnley
Media Law and Ethics,Teoría,Mid,,UFCB (University Campus of Football Business),Burnley
Research Methods,Teoría,Mid,,UFCB (University Campus of Football Business),Burnley
Practising Sports Journalism,Práctica,Mid,,UFCB (University Campus of Football Business),Burnley
TV Studio Production,Práctica,Mid,,UFCB (University Campus of Football Business),Burnley
Professional Project,Práctica,Late,,UFCB (University Campus of Football Business),Burnley
Advanced Journalism Skills,Herramientas,Late,,UFCB (University Campus of Football Business),Burnley
Sports Public Relations and Comm.,Teoría,Late,,UFCB (University Campus of Football Business),Burnley
Industry Engagement,Herramientas,Late,,UFCB (University Campus of Football Business),Burnley
Introduction to ESports,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Understanding Sports Business,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Principles of Marketing,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
The Business of Digital Media,Teoría,Early,,UFCB (University Campus of Football Business),Burnley
Organising an ESports Event,Práctica,Mid,,UFCB (University Campus of Football Business),Burnley
Theory of Digital Marketing,Teoría,Mid,,UFCB (University Campus of Football Business),Burnley
Practice of Digital Marketing,Práctica,Mid,,UFCB (University Campus of Football Business),Burnley
Sports Commentary,Herramientas,Late,,UFCB (University Campus of Football Business),Burnley
Competitive Gaming Culture,Teoría,Early,,Staffordshire University,Staffordshire
ESports Broadcasting,Teoría,Early,,Staffordshire University,Staffordshire
ESports Ecosystems,Teoría,Early,,Staffordshire University,Staffordshire
Esports Events Experience,Teoría,Early,,Staffordshire University,Staffordshire
Single Player ESports Events,Teoría,Early,,Staffordshire University,Staffordshire
Content Creation,Teoría,Mid,,Staffordshire University,Staffordshire
Multiplayer Esports Events,Teoría,Mid,,Staffordshire University,Staffordshire
Community Management,Teoría,Late,,Staffordshire University,Staffordshire
Driving Digital Traffic and Social Media,Teoría,Late,,Staffordshire University,Staffordshire
ESports Analytics,Teoría,Late,,Staffordshire University,Staffordshire
Esports Expo,Práctica,Late,,Staffordshire University,Staffordshire
Single and Team Games Analysis,Teoría,Early,,University of Chichester,Chichester
Media Production for ESports: Marketing/ Casting and Content,Teoría,Mid,,University of Chichester,Chichester
Business of Esports,Teoría,Mid,,University of Chichester,Chichester
Online Event Production,Práctica,Mid,,University of Chichester,Chichester
Live Events Production ,Práctica,Late,,University of Chichester,Chichester
Independent Research Project,Práctica,Late,,University of Chichester,Chichester
Journalism and Content,Teoría,Early,,University of Chichester,Chichester
Multi-Camera Live Events,Práctica,Mid,,University of Chichester,Chichester